Afronatrix anoscopus	Natricidae, Colubroidea, Serpentes (snakes)	Afronatrix	anoscopus	COPE	1861	African Brown Water Snake	Ivory Coast	No	No
Afronatrix anoscopus	Natricidae, Colubroidea, Serpentes (snakes)	Afronatrix	anoscopus	COPE	1861	African Brown Water Snake	Niger	No	No
Afronatrix anoscopus	Natricidae, Colubroidea, Serpentes (snakes)	Afronatrix	anoscopus	COPE	1861	African Brown Water Snake	Burkina Faso	No	No
Afronatrix anoscopus	Natricidae, Colubroidea, Serpentes (snakes)	Afronatrix	anoscopus	COPE	1861	African Brown Water Snake	Senegal	No	No
Afronatrix anoscopus	Natricidae, Colubroidea, Serpentes (snakes)	Afronatrix	anoscopus	COPE	1861	African Brown Water Snake	Guinea	No	No
Afronatrix anoscopus	Natricidae, Colubroidea, Serpentes (snakes)	Afronatrix	anoscopus	COPE	1861	African Brown Water Snake	Benin	No	No
Afronatrix anoscopus	Natricidae, Colubroidea, Serpentes (snakes)	Afronatrix	anoscopus	COPE	1861	African Brown Water Snake	Togo	No	No
Afronatrix anoscopus	Natricidae, Colubroidea, Serpentes (snakes)	Afronatrix	anoscopus	COPE	1861	African Brown Water Snake	Sierra Leone	No	No
Afronatrix anoscopus	Natricidae, Colubroidea, Serpentes (snakes)	Afronatrix	anoscopus	COPE	1861	African Brown Water Snake	Liberia	No	No
Agkistrodon bilineatus	Viperidae, Crotalinae, Serpentes (snakes)	Agkistrodon	bilineatus	GNTHER	1863	Cantil, Mexican Moccasin	Mexico	Yes	Yes
Agkistrodon bilineatus	Viperidae, Crotalinae, Serpentes (snakes)	Agkistrodon	bilineatus	GNTHER	1863	Cantil, Mexican Moccasin	Guatemala	Yes	Yes
Agkistrodon bilineatus	Viperidae, Crotalinae, Serpentes (snakes)	Agkistrodon	bilineatus	GNTHER	1863	Cantil, Mexican Moccasin	Honduras	Yes	Yes
Agkistrodon bilineatus	Viperidae, Crotalinae, Serpentes (snakes)	Agkistrodon	bilineatus	GNTHER	1863	Cantil, Mexican Moccasin	El Salvador	Yes	Yes
Agkistrodon contortrix	Viperidae, Crotalinae, Serpentes (snakes)	Agkistrodon	contortrix	LINNAEUS	1766	Southern Copperhead	India	Yes	Yes
Agkistrodon contortrix	Viperidae, Crotalinae, Serpentes (snakes)	Agkistrodon	contortrix	LINNAEUS	1766	Southern Copperhead	USA	Yes	Yes
Agkistrodon contortrix	Viperidae, Crotalinae, Serpentes (snakes)	Agkistrodon	contortrix	LINNAEUS	1766	Southern Copperhead	Mexico	Yes	Yes
Agkistrodon contortrix	Viperidae, Crotalinae, Serpentes (snakes)	Agkistrodon	contortrix	LINNAEUS	1766	Southern Copperhead	Georgia	Yes	Yes
Agkistrodon contortrix	Viperidae, Crotalinae, Serpentes (snakes)	Agkistrodon	contortrix	LINNAEUS	1766	Southern Copperhead	Jersey	Yes	Yes
Agkistrodon piscivorus	Viperidae, Crotalinae, Serpentes (snakes)	Agkistrodon	piscivorus	LACPDE	1789	conan	India	Yes	Yes
Agkistrodon piscivorus	Viperidae, Crotalinae, Serpentes (snakes)	Agkistrodon	piscivorus	LACPDE	1789	conan	USA	Yes	Yes
Agkistrodon piscivorus	Viperidae, Crotalinae, Serpentes (snakes)	Agkistrodon	piscivorus	LACPDE	1789	conan	Georgia	Yes	Yes
Ahaetulla dispar	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	dispar	GNTHER	1864	Indian Bronzeback, Gnther's Vine Snake	India	Yes	No
Ahaetulla fasciolata	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	fasciolata	FISCHER	1885	Speckle-headed Whipsnake, Spotted Whipsnake	Indonesia	Yes	No
Ahaetulla fasciolata	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	fasciolata	FISCHER	1885	Speckle-headed Whipsnake, Spotted Whipsnake	Thailand	Yes	No
Ahaetulla fasciolata	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	fasciolata	FISCHER	1885	Speckle-headed Whipsnake, Spotted Whipsnake	Malaysia	Yes	No
Ahaetulla fasciolata	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	fasciolata	FISCHER	1885	Speckle-headed Whipsnake, Spotted Whipsnake	Singapore	Yes	No
Ahaetulla fasciolata	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	fasciolata	FISCHER	1885	Speckle-headed Whipsnake, Spotted Whipsnake	Brunei	Yes	No
Ahaetulla fronticincta	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	fronticincta	GNTHER	1858	Gnther's Whipsnake, Burmese Vine Snake	Myanmar	Yes	No
Ahaetulla mycterizans	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	mycterizans	LINNAEUS	1758	Malayan (Green) Whipsnake	Indonesia	Yes	No
Ahaetulla mycterizans	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	mycterizans	LINNAEUS	1758	Malayan (Green) Whipsnake	Thailand	Yes	No
Ahaetulla mycterizans	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	mycterizans	LINNAEUS	1758	Malayan (Green) Whipsnake	Malaysia	Yes	No
Ahaetulla mycterizans	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	mycterizans	LINNAEUS	1758	Malayan (Green) Whipsnake	Laos	Yes	No
Ahaetulla mycterizans	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	mycterizans	LINNAEUS	1758	Malayan (Green) Whipsnake	Singapore	Yes	No
Ahaetulla nasuta	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	nasuta	BONNATERRE	1790	Long-nosed Tree Snake, Green vine snake, Long-nosed Whip Snake	India	Yes	No
Ahaetulla nasuta	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	nasuta	BONNATERRE	1790	Long-nosed Tree Snake, Green vine snake, Long-nosed Whip Snake	Bangladesh	Yes	No
Ahaetulla nasuta	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	nasuta	BONNATERRE	1790	Long-nosed Tree Snake, Green vine snake, Long-nosed Whip Snake	Vietnam	Yes	No
Ahaetulla nasuta	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	nasuta	BONNATERRE	1790	Long-nosed Tree Snake, Green vine snake, Long-nosed Whip Snake	Thailand	Yes	No
Ahaetulla nasuta	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	nasuta	BONNATERRE	1790	Long-nosed Tree Snake, Green vine snake, Long-nosed Whip Snake	Myanmar	Yes	No
Ahaetulla nasuta	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	nasuta	BONNATERRE	1790	Long-nosed Tree Snake, Green vine snake, Long-nosed Whip Snake	Nepal	Yes	No
Ahaetulla nasuta	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	nasuta	BONNATERRE	1790	Long-nosed Tree Snake, Green vine snake, Long-nosed Whip Snake	Sri Lanka	Yes	No
Ahaetulla nasuta	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	nasuta	BONNATERRE	1790	Long-nosed Tree Snake, Green vine snake, Long-nosed Whip Snake	Cambodia	Yes	No
Ahaetulla perroteti	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	perroteti	DUMRIL & BIBRON	1854	Western Ghats Bronzeback	India	Yes	No
Ahaetulla prasina	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	prasina	BOIE	1827	Gunthers whip snake, Oriental Whipsnake, Asian vine snake, Jade Vine Snake	China	Yes	No
Ahaetulla prasina	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	prasina	BOIE	1827	Gunthers whip snake, Oriental Whipsnake, Asian vine snake, Jade Vine Snake	India	Yes	No
Ahaetulla prasina	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	prasina	BOIE	1827	Gunthers whip snake, Oriental Whipsnake, Asian vine snake, Jade Vine Snake	Indonesia	Yes	No
Ahaetulla prasina	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	prasina	BOIE	1827	Gunthers whip snake, Oriental Whipsnake, Asian vine snake, Jade Vine Snake	Bangladesh	Yes	No
Ahaetulla prasina	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	prasina	BOIE	1827	Gunthers whip snake, Oriental Whipsnake, Asian vine snake, Jade Vine Snake	Vietnam	Yes	No
Ahaetulla prasina	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	prasina	BOIE	1827	Gunthers whip snake, Oriental Whipsnake, Asian vine snake, Jade Vine Snake	Thailand	Yes	No
Ahaetulla prasina	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	prasina	BOIE	1827	Gunthers whip snake, Oriental Whipsnake, Asian vine snake, Jade Vine Snake	Myanmar	Yes	No
Ahaetulla prasina	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	prasina	BOIE	1827	Gunthers whip snake, Oriental Whipsnake, Asian vine snake, Jade Vine Snake	Malaysia	Yes	No
Ahaetulla prasina	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	prasina	BOIE	1827	Gunthers whip snake, Oriental Whipsnake, Asian vine snake, Jade Vine Snake	Cambodia	Yes	No
Ahaetulla prasina	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	prasina	BOIE	1827	Gunthers whip snake, Oriental Whipsnake, Asian vine snake, Jade Vine Snake	Hong Kong	Yes	No
Ahaetulla prasina	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	prasina	BOIE	1827	Gunthers whip snake, Oriental Whipsnake, Asian vine snake, Jade Vine Snake	Laos	Yes	No
Ahaetulla prasina	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	prasina	BOIE	1827	Gunthers whip snake, Oriental Whipsnake, Asian vine snake, Jade Vine Snake	Singapore	Yes	No
Ahaetulla prasina	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	prasina	BOIE	1827	Gunthers whip snake, Oriental Whipsnake, Asian vine snake, Jade Vine Snake	Bhutan	Yes	No
Ahaetulla prasina	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	prasina	BOIE	1827	Gunthers whip snake, Oriental Whipsnake, Asian vine snake, Jade Vine Snake	Brunei	Yes	No
