Apostolepis arenaria		RODRIGUES	1993	No	No
Apostolepis assimilis	Reinhardt's Burrowing Snake	REINHARDT	1861	No	No
Apostolepis breviceps		HARVEY, GONZALES & SCROCCHI	2001	No	No
Apostolepis cearensis	Gomes' Burrowing Snake	GOMES	1915	No	No
Apostolepis cerradoensis		DE LEMA	2003	No	No
Apostolepis christineae		DE LEMA	2002	No	No
Apostolepis dimidiata		JAN	1862	No	No
Apostolepis dorbignyi	Bolivian Burrowing Snal e	SCHLEGEL	1837	No	No
Apostolepis flavotorquata	Central Burrowing Snake	DUMRIL, BIBRON & DUMRIL	1854	No	No
Apostolepis gaboi		RODRIGUES	1993	No	No
Apostolepis goiasensis	Goias Burrowing Snake	PRADO	1942	No	No
Apostolepis intermedia	Mato Grosso Burrowing Snake	KOSLOWSKY	1898	No	No
Apostolepis longicaudata	Longhead Burrowing Snake	GOMES	1921	No	No
Apostolepis multicincta		HARVEY	1999	No	No
Apostolepis nelsonjorgei		DE LEMA & RENNER	2004	No	No
Apostolepis niceforoi	Amazon Burrowing Snake	AMARAL	1935	No	No
Apostolepis nigrolineata	Guyana Burrowing Snake	PETERS	1869	No	No
Apostolepis nigroterminata	Peru Burrowing Snake	BOULENGER	1896	No	No
Apostolepis parassimilis		DE LEMA & RENNER	2011	No	No
Apostolepis phillipsae		HARVEY	1999	No	No
Apostolepis polylepis		AMARAL	1921	No	No
Apostolepis pymi		BOULENGER	1903	No	No
Apostolepis quirogai		GIRAUDO & SCROCCHI	1998	No	No
Apostolepis serrana		DE LEMA & RENNER	2006	No	No
Apostolepis striata		DE LEMA	2004	No	No
Apostolepis tenuis	Ruthven's Burrowing Snake	RUTHVEN	1927	No	No
Apostolepis vittata		COPE	1887	No	No
Aprosdoketophis andreonei		WALLACH, LANZA & NISTRI	2010	No	No
Archelaphe bella	Burmese Rat Snake (leonardi)	STANLEY	1917	No	No
Argyrogena fasciolata	Banded Racer	SHAW	1802	No	No
Argyrogena vittacaudata		BLYTH	1854	No	No
Argyrophis bothriorhynchus	Gnthers blind snake	GNTHER	1864	No	No
Argyrophis diardii	Diards blindsnake	SCHLEGEL	1839	No	No
Argyrophis fuscus	Brown Worm Snake	(DUMRIL)	1851	No	No
Argyrophis giadinhensis	Vietnam Worm Snake	BOURRET	1937	No	No
Argyrophis hypsobothrius	Sumatra Worm Snake	WERNER	1917	No	No
Argyrophis klemmeri	Klemmers Blind Snake, Kuala Lumpur Worm Snake	TAYLOR	1962	No	No
